Item ID: 1, MSE: 42952579.920570865 
Item ID: 2, MSE: 211344.9111991635 
Item ID: 3, MSE: 4091784.4986715815 
Item ID: 4, MSE: 13419594.021506941 
Item ID: 5, MSE: 8261.795949199826 
Item ID: 6, MSE: 56186612.10389493 
Item ID: 7, MSE: 101118059.49238369 
Item ID: 8, MSE: 7622456.670749705 
Item ID: 9, MSE: 8542176.507222084 
Item ID: 10, MSE: 6278010.687381724 
Item ID: 11, MSE: 16138541.198113639 
Item ID: 12, MSE: 1264693.3641087597 
Item ID: 13, MSE: 3883383.250555438 
Item ID: 14, MSE: 84306307.35638402 
